schema_version,strategy_id,cost_mode,subset,trials,accepted_exact_coverage,coverage,conditional_risk,silent_wrong_rate,median_latency_sec,p95_latency_sec,p99_latency_sec,median_cold_latency_sec,mean_methods_invoked,mean_persistent_bytes,mean_transient_bytes,mean_materialization_time_sec,profile,calibration_policy_id,threshold,low_method,high_method,calibration_utility
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.03716815001098439,0.3120532050204926,0.450110868094489,0.03716815001098439,1,249744,6144,0.0,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0027905499446205795,0.0048219950054772176,0.008234908956801503,0.0027905499446205795,1,122880,12408,0.0,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.02341949997935444,0.038406829989980906,0.05529815494082864,0.02341949997935444,1,136224,6144,0.0,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.035236099967733026,0.09603107490693218,0.1738031959475483,0.035236099967733026,1,191952,6144,0.0,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,PREMATERIALIZED_ALL_VIEWS,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.14234544994542375,0.3913817700115031,0.4807240850280503,0.14234544994542375,1,421056,6144,0.0,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_ALL,256,1.0,1.0,0.0,0.0,0.02643564995378256,0.2463930000376422,0.41960535004618515,0.03803225001320243,1,218028,7710,0.0128215015670321,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,FINAL_NON_EASY,192,1.0,1.0,0.0,0.0,0.03716815001098439,0.3120532050204926,0.450110868094489,0.0502768000587821,1,249744,6144,0.01664245677481328,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_easy_anchor,64,1.0,1.0,0.0,0.0,0.0027905499446205795,0.0048219950054772176,0.008234908956801503,0.004061799903865904,1,122880,12408,0.0013586359436885687,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_1,64,1.0,1.0,0.0,0.0,0.02341949997935444,0.038406829989980906,0.05529815494082864,0.032768999924883246,1,136224,6144,0.010520531248403131,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_boundary_2,64,1.0,1.0,0.0,0.0,0.035236099967733026,0.09603107490693218,0.1738031959475483,0.04734554997412488,1,191952,6144,0.014767848444535048,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
oracle-portfolio-v0.1,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,LAZY_FALLBACK_VIEW,u1_separation_anchor,64,1.0,1.0,0.0,0.0,0.14234544994542375,0.3913817700115031,0.4807240850280503,0.16657399997347966,1,421056,6144,0.024638990631501656,BALANCED,THRESHOLD:10:MAP_D1024_FAST:BCF_NATIVE,10,MAP_D1024_FAST,BCF_NATIVE,0.9120409299655604
