schema_version,method_id,budget_contract,corruption_cell,stale_trace_rate,uncommitted_trace_rate,token_not_found_rate
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E1_semantic_lookup_sidecar,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E2_ordinary_carried_typed_trace_field,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,1.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,1.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E3_isolated_raw_exact_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.078125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.375,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.1875
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.078125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.078125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,0.5625,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.140625,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.5625,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.3125
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.140625,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.046875,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.03125,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.140625,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,0.3125,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E4_random_opaque_token_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.09375,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.4375,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.375
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.09375,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.09375,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C7_STALE_CAPSULE,0.3125,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M0_ADDITIVE_METADATA_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.0625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C10_VALID_CAPSULE_REFERENCED_TRACE_UNCOMMITTED,0.0,0.25,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C11_VALID_CAPSULE_REFERENCED_TRACE_MISSING,0.0,0.0,0.5625
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C1_SEMANTIC_NOISY_CAPSULE_CLEAN,0.0,0.0625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C2_SEMANTIC_CLEAN_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C3_SEMANTIC_NOISY_CAPSULE_NOISY,0.0,0.015625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C4_CAPSULE_ERASED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C5_CAPSULE_TRUNCATED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C6_WRONG_VALID_CAPSULE,0.0,0.0625,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C7_STALE_CAPSULE,0.5625,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C8_MALFORMED_VERSION_NAMESPACE,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E5_content_addressed_capsule,M1_FIXED_TOTAL_RECORD_BUDGET,C9_INTEGRITY_TAG_CORRUPTED,0.0,0.0,0.0
exact-capsule-contract-closure-dev-v1,E6_ecc_protected_exact_capsule,M0_ADDITIVE_METADATA_BUDGET,C0_SEMANTIC_CLEAN_CAPSULE_CLEAN,0.0,0.0,0.0
